状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<FTYPE>,<Program>,<S>,<call>,<if语句>,<relop>,<relop和加法表达式>,<return语句>,<while语句>,<下标数组>,<中括号和数字>,<乘除因子>,<内部变量声明>,<内部声明>,<函数声明>,<加减项>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参>,<实参列表>,<形参>,<数组声明>,<表达式>,<表达式循环>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<逗号和表达式>,<项>,
64,r57, , , ,s95, ,s96, ,r57,r57,r57, ,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,94, , , , , , , , , , , , , , , , , , , , , ,
65,r61, , ,s98,r61, ,r61,s99,r61,r61,r61, ,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , ,97, , , , , , , , , , , , , , , , , , , , , , , , , ,
66,r62, , ,r62,r62, ,r62,r62,r62,r62,r62, ,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
67, ,s82, , , , , , , , , , , , , ,s83, , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , ,78, , , ,80, , , , , , , ,100, , , , , , , ,79,
68,r66,s103, ,r66,r66, ,r66,r66,r66,r66,r66, ,r66,r66,r66, , , , , , , , , , , , , , ,101, , ,102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
69, ,s67, , , , , , , , , , , , , ,s68, , , , , , ,s66, , , , , , , , , , , , , , , , , , , , , , ,63, , , ,65, , , , , , , ,104, , , , , , , ,64,
70, ,s110, , , , , , , , , , , , , ,s111, , , , , , ,s109, , , , , , , , , , , , , , , , , , , , , , ,106, , , ,108, , , , , , , ,105, , , , , , , ,107,
71, ,s67, , , , , , , , , , , , , ,s68, , , , , , ,s66, , , , , , , , , , , , , , , , , , , , , , ,63, , , ,65, , , , , , , ,112, , , , , , , ,64,
72, , , , , , , , , , , , , , , ,r21, , , , ,r21, , ,r21, ,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
73, , , , , , , , ,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
74, , , , , , , , ,r37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
75, , , , , , , , , , , , , , , , , , , , , , ,s113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
76, , , , , , , , ,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
77, , ,s114, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
78,s93, ,r46, , , , , , ,s88,s89, ,s92,s90,s91, , , , , , , , , , , , , , , , , , , ,116,115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
79,r57, ,r57, ,s118, ,s119, , ,r57,r57, ,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,117, , , , , , , , , , , , , , , , , , , , , ,
